waste_type,Total Generated ('000 tonnes),Total Recycled ('000 tonnes),year,waste_disposed_of_tonne,total_waste_recycled_tonne,total_waste_generated_tonne,recycling_rate
Construction& Demolition,1624,1618,2018,,1618000,1624000,0.996305419
Ferrous Metal,1269,1260,2018,,1260000,1269000,0.992907801
Paper/Cardboard,1054,586,2018,,586000,1054000,0.55597723
Plastics,949,41,2018,,41000,949000,0.043203372
Food,763,126,2018,,126000,763000,0.165137615
Wood,521,428,2018,,428000,521000,0.821497121
Horticultural,320,227,2018,,227000,320000,0.709375
Ash & Sludge,240,25,2018,,25000,240000,0.104166667
Textile/Leather,220,14,2018,,14000,220000,0.063636364
Used Slag,181,179,2018,,179000,181000,0.988950276
Non-Ferrous Metal,171,170,2018,,170000,171000,0.994152047
Glass,64,12,2018,,12000,64000,0.1875
Scrap Tyres,32,29,2018,,29000,32000,0.90625
"Others (stones, ceramic, rubber, ect)",286,11,2018,,11000,286000,0.038461538
Overall,7695,4726,2018,,4726000,7695000,0.614165042
Construction& Demolition,1440,1434,2019,,1434000,1440000,0.995833333
Ferrous Metal,1278,1270,2019,,1270000,1278000,0.993740219
Paper/Cardboard,1011,449,2019,,449000,1011000,0.444114738
Plastics,930,37,2019,,37000,930000,0.039784946
Food,744,136,2019,,136000,744000,0.182795699
Wood,438,289,2019,,289000,438000,0.659817352
Horticultural,400,293,2019,,293000,400000,0.7325
Ash & Sludge,252,25,2019,,25000,252000,0.099206349
Textile/Leather,168,6,2019,,6000,168000,0.035714286
Used Slag,129,127,2019,,127000,129000,0.984496124
Non-Ferrous Metal,126,124,2019,,124000,126000,0.984126984
Glass,75,11,2019,,11000,75000,0.146666667
Scrap Tyres,33,31,2019,,31000,33000,0.939393939
"Others (stones, ceramic, rubber, ect)",210,15,2019,,15000,210000,0.071428571
Overall,7234,4247,2019,,4247000,7234000,0.587088748
Paper/Cardboard,1144,432,2020,,432000,1144000,0.377622378
Ferrous metal,934,930,2020,,930000,934000,0.995717345
Plastics,868,36,2020,,36000,868000,0.041474654
Construction & Demolition,825,822,2020,,822000,825000,0.996363636
Food,665,126,2020,,126000,665000,0.189473684
Horticultural,313,249,2020,,249000,313000,0.795527157
Wood,304,195,2020,,195000,304000,0.641447368
Ash & sludge,228,16,2020,,16000,228000,0.070175439
Textile/Leather,137,6,2020,,6000,137000,0.04379562
Used slag,106,104,2020,,104000,106000,0.981132075
Non-ferrous metal,75,73,2020,,73000,75000,0.973333333
Glass,66,7,2020,,7000,66000,0.106060606
Scrap tyres,23,22,2020,,22000,23000,0.956521739
"Others (stones, ceramics, etc.)",193,21,2020,,21000,193000,0.10880829
Overall,"	5880","	3040","	2020",,,,
