country,waste type,energy,oil
brunei,ferrous,49992192,2225364
brunei,non,12096,5495040
brunei,plastic,199549440,87920640
brunei,paper,159408000,68001120
indonesia,ferrous,678106080,302295888
indonesia,non,1643040000,746409600
indonesia,plastic,52705072000,23221632000
indonesia,paper,39830680000,16991185200
laos,ferrous,7452978,3322464
laos,non,18172000,8255280
laos,plastic,123627114,54469584
laos,paper,40294800,17189172
malaysia,ferrous,223608600,99683460
malaysia,non,541800000,246132000
malaysia,plastic,11172690000,4922640000
malaysia,paper,7404600000,3158694000
philippines,ferrous,355989000,158697900
philippines,non,862568000,391852320
philippines,plastic,8893692200,3918523200
philippines,paper,5207820000,2221579800
thailand,ferrous,286473240,127708164
thailand,non,694120000,315328800
thailand,plastic,27219328880,11992721280
thailand,paper,8350880000,3562363200
vietnam,ferrous,32071752,14297280
vietnam,non,77700000,35298000
vietnam,plastic,6907147500,3043260000
vietnam,paper,2040324000,870372360
